SOURCE_ID,TARGET_ID,EXP_TIME,RES_TIME
2183890,2460458,22.302504,24.319479
2183890,2603020,23.115252,26.063785
2183890,2585741,22.714814,25.767072
2183890,3099829,30.099182,34.481262
2183890,2616083,32.351519,35.702296
2183890,2201132,9.184572,12.711770
2183890,2568471,23.013550,25.953693
2183890,2564153,23.122339,26.207106
2183890,2551193,23.417432,26.089897
2183890,2611679,23.915059,26.681359
2183890,2654888,24.719469,27.765464
2183890,2706730,25.421337,28.922481
2183890,2715375,25.623314,28.820324
2183890,2715377,25.824358,29.045287
2183890,2680820,25.819161,30.384609
2183890,2106039,23.213069,27.388062
2183890,2957301,28.043446,32.713343
2183890,2762902,26.527523,29.661916
2183890,2780189,27.031365,30.068955
2183890,2758590,27.437545,30.766857
2183890,2702434,26.323799,33.801024
2183890,2698115,27.130401,33.847334
2183890,2974597,29.246858,33.343547
2183890,2775878,27.434169,31.037972
2183890,2996201,29.653600,33.101706
2183890,2836362,28.234699,31.266674
2183890,2330732,21.256814,21.461444
2183890,2672203,29.245906,34.669653
2183890,2819083,27.832670,30.592424
2183890,2715408,28.042108,32.300195
2183890,2857968,28.638312,31.200541
2183890,2577170,33.553406,34.992842
2183890,2698134,28.544055,32.724165
2183890,2551256,33.501987,35.277546
2183890,3009180,30.757760,33.727365
2183890,3022141,30.964254,34.662627
2183890,2594462,32.630209,34.834656
2183890,2157970,1.817317,2.867325
2183890,2728383,28.330461,32.121852
2183890,2836384,28.935200,32.861607
2183890,2832069,29.037317,32.928287
2183890,2603112,32.507780,33.968898
2183890,2676553,30.636276,34.298620
2183890,2590154,31.898183,34.891493
2183890,2633355,31.544140,34.953543
2183890,2771596,29.029612,33.265698
2183890,2581517,32.302047,35.554038
2183890,2711123,29.748874,34.146270
2183890,2162208,24.003519,25.461625
2183890,2711124,29.544003,34.227962
2183890,2568564,35.705739,36.817708
2183890,2823446,29.939004,33.974396
2183890,2745686,29.539034,34.026654
2183890,2754327,29.529908,34.058813
2183890,2762968,29.732402,33.308112
2183890,2745689,29.730096,34.396880
2183890,2559930,36.163181,37.930602
2183890,2737051,29.742841,34.517576
2183890,2464892,46.190718,42.455652
